Date GPS,Date de réception,Type evt.,Contact,Vitesse,Vitesse du tronçon,Adresse,Dist. cumulée,Temps moteur,Niveau de carburant,RPM du moteur,Autonomie,Battery level (%),Pédale d'accélération,Distance avant entretien,Température du moteur,Consommation totale de carburant,Temps total de standby,Sat,Jours avant entretien,T°1,T°2,T°3,T°4
06/08/2020 - 11:42:26,06/08/2020 - 11:42:55,Démarrage,ON, - , - ,"(FR) - - , 13770 Venelles","43,8 km",3:02:00,0.0%,-,-,,-,-,-,0.0l,,,,-,-,-,-
06/08/2020 - 11:42:27,06/08/2020 - 11:43:03,Position,ON, - , - ,"(FR) - - , 13770 Venelles","43,8 km",3:02:00,0.0%,-,-,,-,-,-,0.0l,,,,-,-,-,-
06/08/2020 - 11:42:29,06/08/2020 - 11:43:07,Suivi,ON, - , - ,"(FR) - Rond-Point des Figueirasses 16-18, 13770 Venelles","43,8 km",3:02:00,0.0%,0,-,,-,-,-,0.0l,,5,,-,-,-,-
06/08/2020 - 11:42:32,06/08/2020 - 11:43:12,Accélération brusque,ON, - , - ,"(FR) - Rond-Point des Figueirasses 16-18, 13770 Venelles","43,8 km",3:02:00,0.0%,0,-,,-,-,-,0.0l,,7,,-,-,-,-
06/08/2020 - 11:42:42,06/08/2020 - 11:43:17,Suivi,ON, - , - ,"(FR) - Rond-Point des Figueirasses 6-22, 13770 Venelles","43,8 km",3:02:00,0.0%,0,-,,-,-,-,0.0l,,7,,-,-,-,-
06/08/2020 - 11:42:51,06/08/2020 - 11:43:21,Suivi,ON, - , - ,"(FR) - Rond-Point des Figueirasses , 13770 Venelles","43,8 km",3:02:00,0.0%,0,-,,-,-,-,0.0l,,7,,-,-,-,-
06/08/2020 - 11:43:13,06/08/2020 - 11:43:27,Suivi,ON, - , - ,"(FR) - D13b , 13770 Venelles","44,0 km",3:03:00,0.0%,0,-,,-,-,-,0.0l,,5,,"12,0 °C","20,5 °C","28,6 °C","28,4 °C"
06/08/2020 - 11:43:41,06/08/2020 - 11:43:44,Suivi,ON, - , - ,"(FR) - Chemin des Grandes Vignes , 13770 Venelles","44,2 km",3:03:00,0.0%,0,-,,-,-,-,0.0l,,7,,"12,0 °C","20,5 °C","28,6 °C","28,4 °C"
06/08/2020 - 11:43:58,06/08/2020 - 11:44:00,Suivi,ON, - , - ,"(FR) - Chemin de Fontcuberte , 13770 Venelles","44,3 km",3:03:00,0.0%,0,-,,-,-,-,0.0l,,8,,"12,0 °C","20,5 °C","28,6 °C","28,4 °C"
06/08/2020 - 11:44:48,06/08/2020 - 11:44:50,Suivi,ON, - , - ,"(FR) - Chemin de Fontcuberte , 13770 Venelles","44,8 km",3:04:00,0.0%,0,-,,-,-,-,0.0l,,7,,"12,0 °C","20,5 °C","28,7 °C","28,4 °C"
